pos	5pC>T
1	0.115990480365754
2	0.0663088291946666
3	0.045341674597688
4	0.0349588114292752
5	0.0286931903948954
6	0.0248330447687361
7	0.0208743835241404
8	0.0174329403764375
9	0.0149730431760844
10	0.0132397266719598
11	0.0115754528454175
12	0.0104248505357127
13	0.00945425050262931
14	0.0088042803360404
15	0.00812302508382852
16	0.00762449520363836
17	0.00749625730866963
18	0.00713722962653245
19	0.00743156651571964
20	0.00639562897169923
21	0.00743766285123049
22	0.00573406540075983
23	0.00565469854042359
24	0.00551232462238658
25	0.00526102570339813
