"","Position","C.T","G.A"
"1",1,0.991975892284776,0.710149223801267
"2",2,0.987861822107007,0.665290982320065
"3",3,0.982287910391875,0.626205086960336
"4",4,0.975327463066478,0.596889365897206
"5",5,0.967459811979238,0.578772163467213
"6",6,0.95945328976218,0.575421768337588
"7",7,0.952065611976846,0.586096325155087
"8",8,0.945780845106994,0.605649844997231
"9",9,0.940824326331772,0.6252280844931
"10",10,0.937128085152382,0.642072767768552
"11",11,0.93439300365269,0.657953033357519
"12",12,0.932349996913235,0.672784718380683
"13",-12,0.801377761533105,0.921840457926038
"14",-11,0.789259486142535,0.925434087946031
"15",-10,0.777743261567672,0.929524595686613
"16",-9,0.768520164495049,0.934363562300781
"17",-8,0.760947761467934,0.940416198191991
"18",-7,0.754296272457167,0.947895962118273
"19",-6,0.751319276637695,0.956479820452026
"20",-5,0.756002995042933,0.96549600787643
"21",-4,0.77141621120037,0.974095502465305
"22",-3,0.791517550238521,0.981580208396475
"23",-2,0.805485634265223,0.987524912282792
"24",-1,0.795209454726577,0.991875234528658
