"","Theta","DeltaD","DeltaS","Lambda","Rho","LogLik"
"Mean",0.00383252799039169,0.0120096577995243,0.29468443268228,0.3855588950289,0.792925284330784,-116746.982492737
"Std.",1.31715433338181e-05,5.24053877608346e-05,0.0011246736507528,0.00128887096853732,0.00328563446306555,1.63336029065508
"Acceptance ratio",0.12178,0.15084,0.13858,0.13808,0.27092,0.59724
"0%",0.00378309809457082,0.0118157324479575,0.290801681012857,0.38126953289351,0.779393426902954,-116759.389298048
"2.5%",0.00380738406187,0.0119063863492266,0.292446466924653,0.382958272352852,0.786524015998484,-116751.043382175
"5%",0.00381075506440862,0.0119229902676062,0.292778184929989,0.383376626278142,0.787508195215144,-116750.111799488
"7.5%",0.00381341899324028,0.0119337808840352,0.293069096308888,0.383649380520878,0.788202688636374,-116749.540446893
"10%",0.00381526457953931,0.0119414586030445,0.293255870166889,0.38387277060536,0.788716806144334,-116749.151007501
"12.5%",0.0038173097930598,0.011949332550536,0.293402605339445,0.384080535674155,0.789186414913216,-116748.855944133
"15%",0.00381861433809885,0.0119550736565259,0.293511183286401,0.384236615975516,0.789505764846532,-116748.593748176
"17.5%",0.00381989967065451,0.0119607943986579,0.293620161041057,0.384395439126604,0.789849973406182,-116748.360585291
"20%",0.00382126770555407,0.0119658589674759,0.293738764672204,0.384491239255018,0.790138556056172,-116748.156814879
"22.5%",0.0038224499567576,0.0119708700205398,0.293838304243053,0.384606254565143,0.790428990464328,-116747.973773387
"25%",0.0038235115217969,0.0119744407942864,0.293937640153509,0.384731100445701,0.790721670166679,-116747.817297039
"27.5%",0.00382453973571255,0.0119788843325175,0.294028445207752,0.384864410051631,0.790981690283151,-116747.666643418
"30%",0.00382544533012876,0.0119831720499256,0.294114420251017,0.384953724220102,0.791201345734622,-116747.524333473
"32.5%",0.00382644787420802,0.0119871702550166,0.294186560873242,0.385025598534496,0.791445973813521,-116747.397104678
"35%",0.0038272561790164,0.011990893871252,0.294262979419865,0.385122948459396,0.791674200393995,-116747.268997939
"37.5%",0.00382808911400071,0.0119944964753604,0.294352263573376,0.385213341896242,0.791895389583475,-116747.153365689
"40%",0.00382895083395804,0.0119982699479351,0.294436293350756,0.385284293881949,0.792107863319874,-116747.039945141
"42.5%",0.00382994419962405,0.0120012311730354,0.294501989948304,0.38534868005241,0.792327022783139,-116746.939226583
"45%",0.00383070006600303,0.0120040469976232,0.294570192513596,0.385416561171918,0.792538098860859,-116746.841475689
"47.5%",0.00383150618715062,0.0120069287933951,0.294637009493466,0.385500077505776,0.792753670288718,-116746.737935518
"50%",0.00383233121335585,0.0120102185789782,0.294703932648508,0.385566490846082,0.792928288033777,-116746.647887256
"52.5%",0.00383333415504694,0.0120130967966804,0.294760417841779,0.385640824606284,0.793132959813661,-116746.547698813
"55%",0.00383410035081289,0.0120161827707395,0.294828962480927,0.385713670144047,0.793331405918842,-116746.456226793
"57.5%",0.00383494404448917,0.0120195113503753,0.294898805168164,0.385786656559119,0.793532196742345,-116746.371631749
"60%",0.00383582910089196,0.0120230464671251,0.294961427892252,0.385868681644274,0.793742547671136,-116746.292949595
"62.5%",0.00383664348805209,0.012026399600232,0.295021797249712,0.385946463614692,0.793977614868993,-116746.208421745
"65%",0.00383753166921343,0.0120296379106708,0.295090789598953,0.386022642059597,0.794176712499909,-116746.11987751
"67.5%",0.00383848030773982,0.0120327549973042,0.295152913765992,0.386113376848739,0.794430086856808,-116746.037354202
"70%",0.00383940894735414,0.0120363071785679,0.295232305010383,0.386192335535984,0.794663043324043,-116745.956231284
"72.5%",0.00384060439188378,0.0120403087430188,0.295323667572349,0.386287638120912,0.794908539084155,-116745.875667682
"75%",0.00384159568305563,0.0120444532635118,0.295416587679417,0.386383850485729,0.79517931988777,-116745.78981883
"77.5%",0.0038427152974704,0.0120484685469075,0.295495567617858,0.386498523356854,0.795460727788587,-116745.706123698
"80%",0.00384390276886821,0.0120522437246355,0.295581049875522,0.386605703871063,0.795762589897032,-116745.620380059
"82.5%",0.00384498995206827,0.0120567944605885,0.295688797975548,0.386722767992715,0.796037972523588,-116745.530970647
"85%",0.00384612444719416,0.0120626772738943,0.295787121924023,0.386884798339403,0.796387668890464,-116745.433883026
"87.5%",0.00384762841652567,0.0120687362596996,0.295930603863149,0.386998948299657,0.796773979194378,-116745.341076815
"90%",0.00384936018933934,0.0120759785471358,0.296107975553437,0.387151073606636,0.797196549502693,-116745.2412722
"92.5%",0.00385115039708392,0.0120837234702538,0.296266462667509,0.387354778224354,0.797656997938065,-116745.123187624
"95%",0.00385412150347161,0.0120959844313638,0.296564000244183,0.387659137568732,0.798331919694818,-116744.997588522
"97.5%",0.0038582741318365,0.0121124528823286,0.296980918410973,0.388114273675967,0.799183827955436,-116744.826296532
"100%",0.0038825863115648,0.0122278801891692,0.299722588646351,0.391099997512801,0.807551325833768,-116744.457087711
