# table produced by mapDamage version 2.0.8-dirty
# using mapped file ./ESW_LRUE_MA2621_L1_S1_S83_L006.sort.rmdup.bam and /willerslev/datasets/reference_genomes/hs37d5/hs37d5.fa as reference file
# Std: strand of reads
Std	Length	Occurences 
+	28	2
+	29	17
+	30	24152
+	31	26743
+	32	29514
+	33	32169
+	34	34964
+	35	37349
+	36	41012
+	37	43784
+	38	45818
+	39	45909
+	40	44763
+	41	43583
+	42	42324
+	43	42085
+	44	42093
+	45	42769
+	46	43807
+	47	44881
+	48	44990
+	49	44778
+	50	43129
+	51	41075
+	52	39522
+	53	38330
+	54	37941
+	55	37666
+	56	37921
+	57	38112
+	58	37655
+	59	36958
+	60	35604
+	61	34287
+	62	33454
+	63	33172
+	64	31675
+	65	31968
+	66	32292
+	67	31845
+	68	32751
+	69	34496
+	70	31959
+	71	32280
+	72	28156
+	73	27589
+	74	27435
+	75	28151
+	76	25907
+	77	28993
+	78	36957
+	79	55150
+	80	98679
+	81	688838
+	82	9632
+	83	1273
+	84	324
+	85	216
-	28	2
-	29	23
-	30	23555
-	31	26910
-	32	29491
-	33	31909
-	34	34624
-	35	37282
-	36	40664
-	37	43575
-	38	45789
-	39	46236
-	40	44811
-	41	43586
-	42	41892
-	43	42257
-	44	42382
-	45	42855
-	46	43879
-	47	44919
-	48	44934
-	49	44548
-	50	43165
-	51	41265
-	52	39356
-	53	38459
-	54	37814
-	55	37411
-	56	37708
-	57	37871
-	58	38055
-	59	37442
-	60	36095
-	61	34711
-	62	33155
-	63	32675
-	64	32101
-	65	31970
-	66	32125
-	67	31994
-	68	32643
-	69	34240
-	70	31646
-	71	32275
-	72	28152
-	73	27419
-	74	27402
-	75	28313
-	76	25919
-	77	28913
-	78	36835
-	79	54891
-	80	97487
-	81	690941
-	82	9644
-	83	1300
-	84	341
-	85	213
