"","Position","C.T","G.A"
"1",1,0.998356300428099,0
"2",2,0.997290923272186,0.720238078068077
"3",3,0.99562201848025,0.805111400774667
"4",4,0.993131948156097,0.836812390925083
"5",5,0.989671904274614,0.852989757086829
"6",6,0.985281399859932,0.864904701116968
"7",7,0.980268736137083,0.875541132528351
"8",8,0.975105266203828,0.885993249265036
"9",9,0.970327086990193,0.894661071986626
"10",10,0.966218151031255,0.90209860614687
"11",11,0.962802541140684,0.908654458132473
"12",12,0.959909607641498,0.914686046574776
"13",-12,0.94134711439598,0.949095741674474
"14",-11,0.939418043178349,0.953189514638714
"15",-10,0.938051476427596,0.957847344313609
"16",-9,0.936863571939066,0.963531796291397
"17",-8,0.935292853019179,0.970218175098678
"18",-7,0.933747174437292,0.977144646907194
"19",-6,0.932144374941201,0.983553340109272
"20",-5,0.930324202033683,0.988836508291289
"21",-4,0.927208414901243,0.992778658351208
"22",-3,0.919973539148211,0.995492407318657
"23",-2,0.898551222199735,0.997254049660424
"24",-1,0.687191058086619,0.998356399637437
