"","Theta","DeltaD","DeltaS","Lambda","Rho","LogLik"
"Mean",0.00141243167250002,0.00960832839736516,0.579197265452227,0.412044195160874,1.05838043506273,-600.450406793969
"Std.",1.89424576697738e-05,8.76974716687546e-05,0.00267865001443191,0.00136725511799151,0.016244955668811,1.52553961323048
"Acceptance ratio",0.1542,0.15896,0.19674,0.18546,0.29268,0.66734
"0%",0.00134536025208955,0.00923554001976107,0.570032663716168,0.406773344982186,0.989387879844717,-611.336687121503
"2.5%",0.00137552084992092,0.00943719893288098,0.574050069429216,0.409462965331858,1.02744793640166,-604.228161211651
"5%",0.00138198626499644,0.00946225413420395,0.574917892799902,0.409804673506275,1.03228009091179,-603.40528425801
"7.5%",0.00138580966159548,0.00948038847038056,0.575402584340113,0.410055831273437,1.03525627934524,-602.896068945986
"10%",0.00138880826617289,0.00949623433143625,0.575794578705563,0.410265273223431,1.03777729924209,-602.510687662895
"12.5%",0.00139128615070148,0.00950743535680567,0.576099270990063,0.410441464286617,1.03950294280879,-602.196143498416
"15%",0.0013933151846522,0.00951787238460524,0.576409903641199,0.410596990331214,1.04140023766629,-601.942942148998
"17.5%",0.00139477562138864,0.00952801132038451,0.576675637164557,0.410727506174841,1.0428330890772,-601.728791112276
"20%",0.00139618245849406,0.00953565018209367,0.576913753493781,0.410858802225389,1.04423615967973,-601.544601874776
"22.5%",0.00139767166891561,0.00954253927822437,0.577159189012492,0.411022540565098,1.04562181021147,-601.372740827199
"25%",0.00139927417349786,0.00954957222554749,0.57738754938668,0.411128174385668,1.04700536005494,-601.220986148431
"27.5%",0.00140063981623485,0.00955770809263265,0.577585652901621,0.411241120749686,1.04830233829697,-601.077854758279
"30%",0.00140182192520616,0.00956360250467529,0.577757525560561,0.411348247997547,1.04950675970589,-600.94992915804
"32.5%",0.00140337440447813,0.00957033300479494,0.577949586157483,0.411439334246856,1.05064912938605,-600.834509958326
"35%",0.00140469125786618,0.00957609451559704,0.578150248119292,0.411530591450422,1.05182843530292,-600.722737113771
"37.5%",0.00140594128130144,0.00958177529725469,0.578319897145533,0.411619373235748,1.05294359034216,-600.60916391038
"40%",0.00140719544314684,0.00958745781819495,0.578485956330497,0.411696374723286,1.05407300218394,-600.504839474718
"42.5%",0.00140863740476752,0.00959302798293218,0.57865757848506,0.4117971224138,1.05507402450047,-600.407499648414
"45%",0.00140994453831358,0.00959734017407315,0.578827553084319,0.411882246508713,1.05617209024626,-600.316840523207
"47.5%",0.00141109176249193,0.0096020773817919,0.578977256126579,0.411969126474248,1.05730863826914,-600.229070913466
"50%",0.00141233263578063,0.00960740870859413,0.579148673941009,0.412057850818159,1.05821023187903,-600.138708319203
"52.5%",0.00141338952570918,0.00961223589693588,0.579309043054832,0.412139737573267,1.05929128496729,-600.057161170578
"55%",0.00141471436571506,0.00961753906132106,0.579479715114994,0.412220462621469,1.06044795505823,-599.976044555579
"57.5%",0.00141584349620315,0.00962333159032652,0.579629025867901,0.412295227008844,1.0614770378188,-599.894348301949
"60%",0.00141700425084823,0.00962924413034666,0.579833142930046,0.412382938035566,1.06257490012156,-599.814349576408
"62.5%",0.00141807611880144,0.00963485232384396,0.580022565873316,0.41246067882166,1.06369984536613,-599.726717966704
"65%",0.00141941245412967,0.00964024644652872,0.580220501339101,0.412552890881018,1.06468909613267,-599.651953491044
"67.5%",0.00142077362024335,0.00964751696288856,0.58039272271942,0.412649246316203,1.06593528755451,-599.573565643806
"70%",0.00142227278893593,0.00965399077051721,0.580586846552354,0.412750955664326,1.06700132901873,-599.49086087266
"72.5%",0.00142371778446627,0.00965956170913927,0.580778689022416,0.412854673586934,1.06825082657587,-599.415248202376
"75%",0.0014249747928307,0.00966693999269247,0.580955749430631,0.412938477968445,1.06962144653967,-599.333923777994
"77.5%",0.00142686984244345,0.00967432129639054,0.581205594167261,0.413059888950823,1.07088591548578,-599.251594314272
"80%",0.00142862696223247,0.00968234685594749,0.581426492751828,0.413166593095082,1.07228402260111,-599.172908029473
"82.5%",0.00143016576760342,0.00969119804639273,0.581643902518931,0.413303927408768,1.07376966052268,-599.091346012545
"85%",0.00143251764417924,0.00970013669686572,0.581982372315118,0.413455608706776,1.0752529485124,-599.002443083967
"87.5%",0.00143452310596298,0.00971059469463982,0.582280708787064,0.413612471103587,1.07707196197604,-598.909749150672
"90%",0.00143717137894012,0.009721470525748,0.582671544702007,0.413803133331336,1.07921884820915,-598.807812703437
"92.5%",0.00144034984001781,0.00973431350179541,0.583093013543335,0.414022783122109,1.08187193303299,-598.710652244394
"95%",0.00144348711737,0.00975205144873837,0.583651445520795,0.414303200778569,1.08531884525861,-598.593715376031
"97.5%",0.00144934315382441,0.00978162538010885,0.584593569280571,0.414776344268498,1.09010914608256,-598.427882899187
"100%",0.00148995982664646,0.00992177637765059,0.590158418298357,0.417736135300667,1.11676506287719,-598.025025095905
