pos	5pG>A
1	0.00429516262630959
2	0.0029112062198274
3	0.0043669375555222
4	0.00408744155813041
5	0.00379703986812346
6	0.0036528188778538
7	0.0036086352259595
8	0.00339291298715844
9	0.00344515966429794
10	0.00332889847016742
11	0.00322712618054307
12	0.00330284987998231
13	0.00305869390183525
14	0.00298872466007397
15	0.00293344460937998
16	0.00281554212479135
17	0.0026832025224568
18	0.00258756199311987
19	0.00257482611720655
20	0.00245605336776289
21	0.00244857947350059
22	0.00241669259700188
23	0.00229082849298697
24	0.00226712876577983
25	0.00219661568370931
