pos	5pC>T
1	0.00148959133196897
2	0.00180082829562469
3	0.00249723307353147
4	0.00230781407547342
5	0.00229958027336909
6	0.00254615477468518
7	0.00234507251170074
8	0.00250475841908231
9	0.00264258936951657
10	0.00260034134957802
11	0.00265689194528534
12	0.00257983008029273
13	0.00269921265839087
14	0.00272908428022238
15	0.00291093893404826
16	0.00295952340623743
17	0.00335068751031994
18	0.00335799707793145
19	0.00314473584370342
20	0.00326597981325453
21	0.00327580672619719
22	0.0033007846302109
23	0.00356610445277854
24	0.00346168402512428
25	0.00329091647293866
