"","Position","C.T","G.A"
"1",1,0.192307428068603,0.204298438378822
"2",2,0.127843006550783,0.125797450108482
"3",3,0.131401829439575,0.121996722795879
"4",4,0.133064478533902,0.120292635106168
"5",5,0.133483412238989,0.119861245624747
"6",6,0.133323239556374,0.120026279651216
"7",7,0.13377241418506,0.119563161077077
"8",8,0.134543744777458,0.118765623220949
"9",9,0.135121477360261,0.118166380225568
"10",10,0.135632711904139,0.117634761753397
"11",11,0.136124132112814,0.117122548944337
"12",12,0.136517546961007,0.116711638575101
"13",-12,0.145962824063715,0.106613891824552
"14",-11,0.1467319082601,0.105771531822839
"15",-10,0.147302726798257,0.105144315087498
"16",-9,0.147768140452395,0.104631642982699
"17",-8,0.148216394303668,0.10413678691055
"18",-7,0.148274484447666,0.104072579297374
"19",-6,0.147355298922829,0.105086462192494
"20",-5,0.144954399605964,0.107713705623673
"21",-4,0.141638424436092,0.111293127757261
"22",-3,0.139348216522405,0.11373287375032
"23",-2,0.140488844739655,0.112724602830584
"24",-1,0.224426547518665,0.170485874761446
