"","Theta","DeltaD","DeltaS","Lambda","Rho","LogLik"
"Mean",0.0143683517390371,0.000856297953970142,0.958825913905933,0.998740395686129,0.961904478360683,-5894785.65220745
"Std.",3.68785407741096e-06,2.74912595841019e-06,0.0416427765089957,6.31121845701859e-05,0.000286792574472254,1.74017667812317
"Acceptance ratio",0.12376,0.1779,0.1816,0.17094,0.18106,0.59744
"0%",0.014353573633353,0.000843782358757024,0.68291959748603,0.998258022074251,0.96088354357849,-5894797.99083985
"2.5%",0.0143610544398717,0.000850888646477479,0.83545619253626,0.99856130690123,0.961345470884484,-5894790.13118311
"5%",0.0143620779178054,0.000851746314211382,0.878388925251462,0.998621994281595,0.961427636577411,-5894789.02148237
"7.5%",0.0143629752383456,0.000852319421814098,0.898064280913731,0.998655479352594,0.961482073072272,-5894788.37802947
"10%",0.0143636356958314,0.000852711311618477,0.91136845685942,0.998674836746191,0.961533914599314,-5894787.89025475
"12.5%",0.0143640548630185,0.000853143726023087,0.920586293499634,0.998688612010321,0.961571939887513,-5894787.55307668
"15%",0.0143645200244107,0.000853457322021814,0.926998682732853,0.998699083108075,0.961606631733902,-5894787.28838687
"17.5%",0.0143649794150704,0.000853727670689445,0.932195704338225,0.9987059286609,0.961638190081256,-5894787.0656217
"20%",0.0143653171995397,0.00085398482485243,0.936759719776006,0.998711769619434,0.961662953695279,-5894786.86351521
"22.5%",0.0143656357373629,0.000854222822779941,0.940908449013412,0.998716622430501,0.961684686598611,-5894786.67317603
"25%",0.0143659572380303,0.000854454530832085,0.944851331453323,0.998721328531604,0.961712153423357,-5894786.50155838
"27.5%",0.0143661850982903,0.000854657439021817,0.948118852734447,0.998726083603182,0.96173470452512,-5894786.3488834
"30%",0.0143663945413581,0.000854862268804137,0.950807630251223,0.998729962770336,0.961755624503574,-5894786.21370539
"32.5%",0.0143666410610429,0.000855036847567668,0.953844299124037,0.99873404169319,0.961776614337459,-5894786.07586968
"35%",0.0143668880016408,0.000855224704297042,0.956504180368818,0.998737737900021,0.961797550375348,-5894785.95042613
"37.5%",0.0143671583408908,0.000855400112539265,0.959024947699012,0.998740667276829,0.961815991469211,-5894785.83776098
"40%",0.014367437485985,0.00085560551538771,0.961646138034858,0.998743821251931,0.961833355978741,-5894785.71762764
"42.5%",0.0143676753019932,0.000855792894398479,0.963849179271821,0.998746998118328,0.961854332239263,-5894785.62066118
"45%",0.0143678580637746,0.000855993026058018,0.966196891782942,0.998749545149572,0.961870577100291,-5894785.51743132
"47.5%",0.0143680785862435,0.000856176409341319,0.968257860398188,0.998752537692091,0.961886788576223,-5894785.4127264
"50%",0.0143682958658224,0.000856372307058185,0.970592553871176,0.998755253965626,0.961905216990685,-5894785.31313365
"52.5%",0.01436852322125,0.000856545593843268,0.972600540805315,0.998757785042565,0.961922502943425,-5894785.20590784
"55%",0.0143687376348156,0.000856707218991695,0.974599909927862,0.99876046879806,0.961940214493444,-5894785.10687954
"57.5%",0.0143690182048663,0.000856868645314044,0.976317335334407,0.998762944616712,0.961957373082063,-5894785.02228037
"60%",0.0143692697000277,0.000857059541477897,0.978086919610773,0.998765150898964,0.961981646383924,-5894784.92865285
"62.5%",0.0143695074315092,0.000857228746459635,0.97974818250972,0.998767619701431,0.961999489991366,-5894784.84501084
"65%",0.0143697023553861,0.000857414044868973,0.981334735740653,0.998769809801889,0.962018913503872,-5894784.76040337
"67.5%",0.0143699740551982,0.000857585862118327,0.982740411675162,0.998772021483331,0.962036900532435,-5894784.67738658
"70%",0.0143702520098038,0.000857784528515208,0.984003146214158,0.998774361999837,0.962053080261761,-5894784.59200752
"72.5%",0.0143705338275266,0.000857979149607532,0.985651895578464,0.998776555126831,0.962075041440755,-5894784.4960441
"75%",0.0143708171414778,0.000858158698684594,0.987097660781093,0.998778925060218,0.9620983777683,-5894784.40778775
"77.5%",0.0143711301635991,0.000858333268982823,0.988414307584944,0.998781225563044,0.962120539271449,-5894784.31218495
"80%",0.0143714810921102,0.000858577667321387,0.990047359741727,0.998783726753389,0.962143944759248,-5894784.21680851
"82.5%",0.0143717909833728,0.000858832614304853,0.991409176845714,0.998785968920434,0.96217043535385,-5894784.12275907
"85%",0.0143722313165696,0.000859167088126305,0.992878197103326,0.998788625330542,0.96219421159937,-5894784.02650898
"87.5%",0.0143726247536055,0.000859504898008473,0.994253774983926,0.998791509562012,0.962230544343772,-5894783.9253648
"90%",0.0143731548707344,0.000859813585454573,0.995536324269085,0.998794797174654,0.962269272635011,-5894783.79783194
"92.5%",0.0143737365506106,0.000860182669987371,0.996959398100036,0.998798722624571,0.962313952240489,-5894783.6659611
"95%",0.014374562165357,0.000860733441996316,0.998047110972696,0.998803695612225,0.962379280548325,-5894783.51998784
"97.5%",0.0143756516616756,0.000861597672691783,0.999081592751637,0.998810144543919,0.962473907114866,-5894783.31427402
"100%",0.0143821160507985,0.0008682370607378,0.999995933051706,0.998847301231062,0.962986356008929,-5894782.79800682
