# table produced by mapDamage version 2.0.8-dirty
# using mapped file NA12400.mapped.ILLUMINA.bwa.CEU.low_coverage.20120522.bam and /willerslev/datasets/reference_genomes/hs37d5/hs37d5.fa as reference file
# Std: strand of reads
Std	Length	Occurences 
+	1	1
+	3	1
+	5	1
+	7	1
+	12	1
+	13	1
+	14	1
+	22	1
+	23	3
+	24	1
+	25	4
+	27	4
+	28	1
+	29	2
+	30	6
+	31	16
+	32	35
+	33	491
+	34	9235
+	35	1921225
+	36	207431
+	37	209828
+	38	228190
+	39	232818
+	40	239868
+	41	238161
+	42	240317
+	43	253343
+	44	225196
+	45	238184
+	46	251846
+	47	269521
+	48	234631
+	49	205018
+	50	212036
+	51	235006
+	52	247865
+	53	271517
+	54	270494
+	55	261998
+	56	276027
+	57	278875
+	58	292198
+	59	260264
+	60	239551
+	61	223554
+	62	200209
+	63	142368
+	64	131564
+	65	128499
+	66	126362
+	67	122520
+	68	122528
+	69	129208
+	70	141398
+	71	154090
+	72	167551
+	73	204097
+	74	248825
+	75	387365
+	76	5813288
+	77	22102
+	78	4536
+	79	1185
+	80	1295
+	81	133
+	82	100
+	83	38
+	84	61
+	85	33
+	86	33
+	87	16
+	88	17
+	89	7
+	90	5
+	91	9
+	92	10
+	93	2
+	94	4
+	95	2
+	96	3
+	97	2
+	98	2
+	99	2
+	105	1
+	106	1
+	109	1
+	125	1
-	1	1
-	6	1
-	15	1
-	17	1
-	18	1
-	20	1
-	23	1
-	25	7
-	27	4
-	28	2
-	29	4
-	30	11
-	31	31
-	32	42
-	33	474
-	34	8993
-	35	1920103
-	36	207484
-	37	209795
-	38	228125
-	39	232418
-	40	239612
-	41	238417
-	42	240574
-	43	253218
-	44	225838
-	45	238340
-	46	252138
-	47	270295
-	48	233942
-	49	205282
-	50	212244
-	51	235136
-	52	248056
-	53	271935
-	54	271848
-	55	261338
-	56	275143
-	57	278988
-	58	291301
-	59	260568
-	60	238694
-	61	223811
-	62	200803
-	63	142349
-	64	131155
-	65	128689
-	66	126352
-	67	122175
-	68	122374
-	69	129016
-	70	141324
-	71	154560
-	72	167555
-	73	203567
-	74	248812
-	75	385870
-	76	5821960
-	77	22597
-	78	4703
-	79	1150
-	80	1344
-	81	125
-	82	94
-	83	38
-	84	78
-	85	22
-	86	37
-	87	13
-	88	17
-	89	10
-	90	13
-	91	14
-	92	5
-	93	5
-	94	1
-	96	4
-	98	1
-	99	2
-	100	2
-	101	1
-	102	2
-	103	1
-	104	1
