pos	5pG>A
1	0.180440905117996
2	0.104724485836244
3	0.0628471207249342
4	0.0401316435799194
5	0.0258470474346563
6	0.0159844054580897
7	0.0123910939012585
8	0.0103859716921888
9	0.00819314490716052
10	0.0051516043567854
11	0.00520453329442093
12	0.00481049562682216
13	0.00708938575182192
14	0.00508184705594918
15	0.00491077940389945
16	0.00511212925006028
17	0.004170910325428
18	0.00494177512476759
19	0.00315105681597828
20	0.00397097754681832
21	0.00337622938787493
22	0.00337722088982429
23	0.00369286844755647
24	0.00402151267018751
25	0.0027448714244438
