pos	5pC>T
1	0.176898656898657
2	0.104008984813712
3	0.0673137895712404
4	0.0430495900039047
5	0.0273613738902634
6	0.0198286649340649
7	0.0156234598324298
8	0.0112430643434245
9	0.00897498773908779
10	0.00849982902642763
11	0.00704670262914905
12	0.00714424572317263
13	0.00737899898053304
14	0.00623972138918448
15	0.00646981563457703
16	0.00568292209053818
17	0.00432185694167921
18	0.00610968336323522
19	0.00551865598749756
20	0.00545304055698914
21	0.00590330292237889
22	0.00496720679012346
23	0.00577978056426332
24	0.00441962117532783
25	0.00439753737906772
