pos	5pG>A
1	0.0958866275140769
2	0.0462523458479787
3	0.0357246254373562
4	0.0270143448962235
5	0.0221335793881752
6	0.0186394405464789
7	0.0162652827999946
8	0.0130369150542061
9	0.012171800702915
10	0.0103391424438321
11	0.00928841707337308
12	0.00831653884823647
13	0.00748891381492598
14	0.00708644120351077
15	0.00668067511692537
16	0.00619923313657232
17	0.00599934624824146
18	0.00574144827579961
19	0.00551511620943286
20	0.00518300630602107
21	0.00501252232279206
22	0.00476882167371995
23	0.00448195560532506
24	0.00423531833038913
25	0.0040768756471679
