pos	5pG>A
1	0.17566354660854
2	0.106658416084706
3	0.0652410773881974
4	0.0400820392616466
5	0.0262045315370484
6	0.0181130114658549
7	0.012464830844942
8	0.00989613231477257
9	0.00795580759275659
10	0.0069204152249135
11	0.00623598004095416
12	0.00592592592592593
13	0.00535554018862095
14	0.00504593217601543
15	0.0051720932053277
16	0.00463316307559835
17	0.00479406104470376
18	0.00441297158105272
19	0.00434207120215296
20	0.00421649913175337
21	0.00383096886910775
22	0.00360770817649417
23	0.00360337486816921
24	0.00328351946448871
25	0.00301535625330954
